,symbol,base_asset,coingecko_id,market_cap_usd,volume_usd,price,price_change_pct,high_24h,low_24h
48,WLD/USDT,WLD,worldcoin-wld,"$1,512,127,118.00","$5,444,096.12",$2.36830000,-2.35%,$2.54050000,$2.12590000
49,RAY/USDT,RAY,raydium,"$1,340,365,940.00","$5,387,443.47",$4.99250000,6.25%,$5.13000000,$4.02820000
50,INJ/USDT,INJ,injective-protocol,"$2,439,265,355.00","$5,362,223.56",$25.13100000,3.58%,$27.03800000,$22.31000000
51,LINK/USDT,LINK,chainlink,"$8,833,352,247.00","$5,217,316.33",$14.06730000,0.00%,$14.37980000,$13.05730000
52,BNB/USDT,BNB,binancecoin,"$92,265,901,581.00","$5,054,197.66",$628.90800000,0.06%,$638.28500000,$598.95100000
53,RENDER/USDT,RENDER,render-token,"$2,834,402,280.00","$4,886,731.44",$7.13600000,2.38%,$7.49700000,$6.34600000
54,GRASS/USDT,GRASS,grass,"$742,692,577.00","$4,708,389.29",$2.97330000,-2.38%,$3.12290000,$2.70840000
55,POPCAT/USDT,POPCAT,popcat,"$1,644,173,271.00","$4,681,055.42",$1.66150000,6.37%,$1.76000000,$1.38000000
56,BRISE/USDT,BRISE,N/A,N/A,"$4,612,772.89",$0.00000008,-2.07%,$0.00000008,$0.00000008
57,LTC/USDT,LTC,litecoin,"$5,773,655,441.00","$4,596,804.55",$77.21300000,0.63%,$78.37600000,$71.86500000
58,NOT/USDT,NOT,notcoin,"$758,615,985.00","$4,405,239.38",$0.00740360,3.13%,$0.00774910,$0.00676100
59,JASMY/USDT,JASMY,jasmycoin,"$1,012,643,920.00","$4,217,263.65",$0.02089400,0.95%,$0.02168300,$0.01890500
60,MEW/USDT,MEW,cat-in-a-dogs-world,"$925,058,199.00","$4,147,303.53",$0.01056800,7.46%,$0.01063300,$0.00896600
61,XLM/USDT,XLM,stellar,"$3,921,034,130.00","$3,959,394.02",$0.13030000,5.42%,$0.14150000,$0.12240000
62,CETUS/USDT,CETUS,N/A,N/A,"$3,839,297.50",$0.38636000,16.70%,$0.39873000,$0.31000000
63,IO/USDT,IO,N/A,N/A,"$3,740,171.50",$2.30220000,-7.09%,$2.52680000,$2.16530000
64,CAT/USDT,CAT,N/A,N/A,"$3,720,614.54",$0.00003598,2.43%,$0.00003820,$0.00002880
65,SWELL/USDT,SWELL,N/A,N/A,"$3,678,410.91",$0.03635200,-0.61%,$0.04400000,$0.03518300
66,AR/USDT,AR,arweave,"$1,169,513,996.00","$3,475,279.23",$17.99400000,-0.35%,$18.89600000,$16.76600000
67,ADX/USDT,ADX,N/A,N/A,"$3,380,813.31",$0.17790000,1.36%,$0.18290000,$0.16800000
68,JUP/USDT,JUP,jupiter-exchange-solana,"$1,627,441,625.00","$3,249,245.03",$1.19470000,4.31%,$1.22060000,$1.06020000
69,KRL/USDT,KRL,N/A,N/A,"$3,129,793.77",$0.77057000,105.50%,$0.83522000,$0.37321000
70,BCH/USDT,BCH,bitcoin-cash,"$8,677,127,138.00","$2,957,007.70",$439.55000000,1.19%,$449.39000000,$403.21000000
71,DOGS/USDT,DOGS,dogs-2,"$329,584,413.00","$2,943,021.76",$0.00064100,1.90%,$0.00065800,$0.00057600
72,LUCE/USDT,LUCE,N/A,N/A,"$2,931,812.91",$0.25489000,72.49%,$0.26800000,$0.11601000
73,MOG/USDT,MOG,mog-coin,"$783,627,722.00","$2,928,648.73",$0.00000202,12.55%,$0.00000217,$0.00000163
74,VRA/USDT,VRA,N/A,N/A,"$2,890,099.79",$0.00330000,-3.67%,$0.00355100,$0.00315000
75,STX/USDT,STX,blockstack,"$3,002,497,034.00","$2,871,570.00",$2.00020000,-0.45%,$2.08060000,$1.81990000
76,CFX/USDT,CFX,conflux-token,"$730,497,458.00","$2,720,700.14",$0.15930000,1.14%,$0.16450000,$0.14180000
77,TURBO/USDT,TURBO,turbo,"$610,165,831.00","$2,708,178.14",$0.00883300,1.14%,$0.00957000,$0.00781300
78,FIL/USDT,FIL,filecoin,"$2,538,309,629.00","$2,652,636.64",$4.22390000,-0.28%,$4.32800000,$3.85310000
79,AKT/USDT,AKT,akash-network,"$831,725,332.00","$2,640,950.07",$3.32160000,2.03%,$3.53240000,$2.91990000
80,ORDI/USDT,ORDI,ordinals,"$881,657,285.00","$2,622,856.11",$42.31000000,3.85%,$44.34000000,$37.19000000
81,PEPE2/USDT,PEPE2,N/A,N/A,"$2,607,596.41",$0.00000004,31.84%,$0.00000005,$0.00000003
82,OP/USDT,OP,optimism,"$2,117,424,733.00","$2,398,732.66",$1.68300000,2.74%,$1.70000000,$1.50000000
83,UNI/USDT,UNI,uniswap,"$5,360,901,010.00","$2,392,563.44",$8.91240000,-0.01%,$9.15420000,$8.24650000
84,BDX/USDT,BDX,beldex,"$547,765,689.00","$2,358,493.70",$0.08170000,0.51%,$0.08269000,$0.08040000
85,LADYS/USDT,LADYS,N/A,N/A,"$2,337,306.55",$0.00000013,15.85%,$0.00000014,$0.00000010
86,GALAX/USDT,GALA,gala,"$1,111,967,951.00","$2,222,015.67",$0.02790000,3.98%,$0.02868000,$0.02446000
87,NAKA/USDT,NAKA,N/A,N/A,"$2,198,052.68",$1.17120000,2.08%,$1.21000000,$1.05400000
88,WEN/USDT,WEN,N/A,N/A,"$2,104,734.79",$0.00013570,12.14%,$0.00013750,$0.00011010
89,HMSTR/USDT,HMSTR,N/A,N/A,"$2,091,578.26",$0.00402400,-3.96%,$0.00431900,$0.00381200
90,EGO/USDT,EGO,N/A,N/A,"$2,077,411.28",$0.02554000,-2.10%,$0.03750000,$0.02198000
91,ARB/USDT,ARB,arbitrum,"$2,517,653,870.00","$2,065,399.26",$0.63520000,1.81%,$0.64280000,$0.57120000
92,WAVES/USDT,WAVES,N/A,N/A,"$2,037,915.57",$1.30690000,15.15%,$1.38260000,$1.12710000
93,PEOPLE/USDT,PEOPLE,constitutiondao,"$342,340,410.00","$1,989,586.44",$0.06890000,11.85%,$0.07066000,$0.05666000
94,PUFFER/USDT,PUFFER,N/A,N/A,"$1,960,396.65",$0.31730000,-4.74%,$0.34920000,$0.30040000
95,THETA/USDT,THETA,theta-token,"$1,428,117,438.00","$1,925,583.24",$1.42920000,0.07%,$1.47460000,$1.31170000
96,RBTC1/USDT,RBTC1,N/A,N/A,"$1,900,940.87",$0.00001404,-14.45%,$0.00002000,$0.00001298
97,MEME/USDT,MEME,memecoin-2,"$395,266,649.00","$1,873,912.00",$0.01317400,1.50%,$0.01447600,$0.01203200
98,POL/USDT,POL,polygon-ecosystem-token,"$3,077,118,329.00","$1,853,843.51",$0.39380000,0.12%,$0.40960000,$0.36040000
99,PGC/USDT,PGC,N/A,N/A,"$1,851,956.27",$0.00356700,-36.84%,$0.00585500,$0.00327600
100,VELO/USDT,VELO,N/A,N/A,"$1,850,286.95",$0.01317300,-7.62%,$0.01452000,$0.01280100
