,symbol,base_asset,coingecko_id,market_cap_usd,volume_usd,price,price_change_pct,high_24h,low_24h
47,POL/USDT,POL,polygon-ecosystem-token,"$3,077,118,329.00","$82,762,666.69",$0.39340000,0.03%,$0.40970000,$0.36020000
48,INJ/USDT,INJ,injective-protocol,"$2,439,265,355.00","$81,868,912.70",$25.11000000,3.50%,$27.06000000,$22.30000000
49,UNI/USDT,UNI,uniswap,"$5,360,901,010.00","$81,708,542.84",$8.90200000,-0.11%,$9.15700000,$8.24400000
50,CETUS/USDT,CETUS,N/A,N/A,"$77,166,467.57",$0.38560000,16.50%,$0.40040000,$0.30910000
51,TIA/USDT,TIA,celestia,"$2,159,980,026.00","$76,513,866.48",$5.16400000,-0.94%,$5.69900000,$4.93200000
52,BCH/USDT,BCH,bitcoin-cash,"$8,677,127,138.00","$76,044,304.42",$438.80000000,1.01%,$449.60000000,$403.20000000
53,TON/USDT,TON,the-open-network,"$13,613,141,113.00","$75,676,863.09",$5.33900000,0.00%,$5.56500000,$5.14900000
54,DOGS/USDT,DOGS,dogs-2,"$329,584,413.00","$73,250,032.25",$0.00064040,1.78%,$0.00065790,$0.00057500
55,XLM/USDT,XLM,stellar,"$3,921,034,130.00","$70,649,596.54",$0.13030000,5.17%,$0.14150000,$0.12230000
56,NOT/USDT,NOT,notcoin,"$758,615,985.00","$70,359,487.33",$0.00739600,3.02%,$0.00775100,$0.00675700
57,MASK/USDT,MASK,N/A,N/A,"$67,540,098.67",$2.95500000,-4.40%,$3.41200000,$2.72700000
58,AAVE/USDT,AAVE,aave,"$2,720,518,065.00","$64,568,714.26",$179.94000000,-0.09%,$187.85000000,$168.02000000
59,GALA/USDT,GALA,gala,"$1,111,967,951.00","$64,529,958.35",$0.02790000,4.03%,$0.03001000,$0.02426000
60,1MBABYDOGE/USDT,1MBABYDOGE,N/A,N/A,"$62,127,924.90",$0.00262090,5.44%,$0.00271030,$0.00226880
61,FIL/USDT,FIL,filecoin,"$2,538,309,629.00","$61,133,458.96",$4.22300000,-0.31%,$4.32800000,$3.85300000
62,HIVE/USDT,HIVE,N/A,N/A,"$59,323,125.91",$0.25610000,22.65%,$0.34800000,$0.20680000
63,ARKM/USDT,ARKM,arkham,"$638,130,801.00","$58,596,397.02",$2.14100000,-2.24%,$2.24300000,$1.98800000
64,PENDLE/USDT,PENDLE,pendle,"$911,498,114.00","$58,416,113.39",$5.52600000,1.99%,$5.68200000,$5.05100000
65,COW/USDT,COW,N/A,N/A,"$58,019,888.73",$0.37780000,-1.49%,$0.44410000,$0.33930000
66,IO/USDT,IO,N/A,N/A,"$53,107,333.45",$2.29600000,-7.23%,$2.53100000,$2.16500000
67,AR/USDT,AR,arweave,"$1,169,513,996.00","$52,184,709.51",$18.01000000,-0.22%,$18.91000000,$16.77000000
68,JUP/USDT,JUP,jupiter-exchange-solana,"$1,627,441,625.00","$52,060,838.55",$1.19100000,4.03%,$1.22150000,$1.06070000
69,TRB/USDT,TRB,N/A,N/A,"$49,254,635.41",$70.09000000,-8.75%,$77.69000000,$67.28000000
70,PYTH/USDT,PYTH,pyth-network,"$1,544,267,745.00","$48,867,444.69",$0.42350000,4.72%,$0.42750000,$0.38320000
71,CRV/USDT,CRV,curve-dao-token,"$391,380,329.00","$46,502,991.74",$0.31470000,15.32%,$0.32570000,$0.25490000
72,STX/USDT,STX,blockstack,"$3,002,497,034.00","$44,807,292.96",$1.99700000,-0.60%,$2.08000000,$1.82000000
73,APE/USDT,APE,apecoin,"$807,139,627.00","$44,545,909.87",$1.12500000,4.07%,$1.15100000,$1.01000000
74,HMSTR/USDT,HMSTR,N/A,N/A,"$44,452,190.54",$0.00402100,-3.99%,$0.00431700,$0.00381500
75,JTO/USDT,JTO,jito-governance-token,"$419,799,350.00","$43,823,553.75",$3.21600000,9.50%,$3.35800000,$2.74300000
76,MKR/USDT,MKR,maker,"$1,345,452,923.00","$43,769,292.90","$1,526.00000000",1.53%,"$1,606.00000000","$1,459.00000000"
77,EIGEN/USDT,EIGEN,eigenlayer,"$484,895,694.00","$43,322,082.96",$2.59400000,-7.36%,$2.89200000,$2.48000000
78,ATOM/USDT,ATOM,cosmos,"$2,068,865,404.00","$43,214,700.37",$5.26700000,-0.43%,$5.40100000,$4.83400000
79,ICP/USDT,ICP,internet-computer,"$4,169,131,960.00","$43,137,915.13",$8.76000000,-0.33%,$9.04400000,$8.05900000
80,ETHFI/USDT,ETHFI,ether-fi,"$339,196,269.00","$42,746,141.67",$1.63400000,-2.10%,$1.73400000,$1.49500000
81,ETC/USDT,ETC,ethereum-classic,"$3,409,323,932.00","$42,183,179.35",$22.62000000,0.62%,$23.32000000,$21.17000000
82,SAGA/USDT,SAGA,N/A,N/A,"$42,111,092.47",$1.94010000,-2.42%,$2.07730000,$1.80570000
83,STRK/USDT,STRK,starknet,"$1,023,703,434.00","$41,893,249.32",$0.48760000,-1.22%,$0.51890000,$0.44650000
84,OM/USDT,OM,mantra-dao,"$1,302,244,873.00","$41,659,811.04",$1.44860000,2.20%,$1.63190000,$1.39720000
85,ZRO/USDT,ZRO,layerzero,"$411,487,599.00","$34,771,705.88",$3.69400000,1.62%,$4.02900000,$3.40300000
86,ZK/USDT,ZK,zksync,"$559,046,921.00","$34,742,342.35",$0.15300000,1.32%,$0.16120000,$0.14160000
87,ENS/USDT,ENS,ethereum-name-service,"$583,941,608.00","$34,157,850.38",$17.51000000,-2.72%,$18.43000000,$16.50000000
88,LDO/USDT,LDO,lido-dao,"$1,066,623,114.00","$33,361,668.15",$1.19600000,1.70%,$1.21300000,$1.07000000
89,JASMY/USDT,JASMY,jasmycoin,"$1,012,643,920.00","$31,277,614.42",$0.02085000,0.68%,$0.02168000,$0.01890000
90,SUN/USDT,SUN,N/A,N/A,"$30,948,065.96",$0.02134000,0.28%,$0.02229000,$0.01920000
91,TNSR/USDT,TNSR,N/A,N/A,"$28,345,530.81",$0.50480000,12.20%,$0.62000000,$0.42010000
92,RAD/USDT,RAD,N/A,N/A,"$27,253,579.09",$1.21000000,3.24%,$1.52700000,$1.09600000
93,WBTC/USDT,WBTC,wrapped-bitcoin,"$13,516,231,021.00","$24,706,279.59","$91,871.82000000",4.84%,"$92,954.19000000","$85,941.25000000"
94,LUNC/USDT,LUNC,terra-luna,"$559,193,027.00","$24,396,411.19",$0.00010304,1.15%,$0.00010716,$0.00009504
95,GRT/USDT,GRT,the-graph,"$1,805,615,849.00","$24,299,596.59",$0.18760000,-0.85%,$0.19510000,$0.17310000
96,DYDX/USDT,DYDX,dydx-chain,"$895,212,911.00","$23,544,501.13",$1.28210000,4.17%,$1.28350000,$1.12010000
97,STEEM/USDT,STEEM,N/A,N/A,"$23,420,146.91",$0.19750000,1.18%,$0.26810000,$0.18380000
98,CHZ/USDT,CHZ,chiliz,"$611,240,920.00","$23,033,108.44",$0.06710000,1.82%,$0.06930000,$0.06180000
99,XAI/USDT,XAI,N/A,N/A,"$22,743,630.95",$0.23490000,-1.80%,$0.24950000,$0.21400000
100,W/USDT,W,wormhole,"$675,619,943.00","$22,460,739.44",$0.24860000,-0.84%,$0.25890000,$0.22540000
