,coingecko_id,symbol,base_asset,market_cap_usd,volume_usd,price,price_change_pct,high_24h,low_24h,source
41,turbo,TURBO/USDT,TURBO,"$610,165,831.00","$90,267,390.55",$0.00883100,1.23%,$0.00959000,$0.00780600,"binance,kucoin"
42,litecoin,LTC/USDT,LTC,"$5,773,655,441.00","$88,403,963.79",$77.18000000,0.59%,$78.37000000,$71.86000000,"binance,kucoin"
43,injective-protocol,INJ/USDT,INJ,"$2,439,265,355.00","$87,231,136.26",$25.11000000,3.50%,$27.06000000,$22.30000000,"binance,kucoin"
44,celestia,TIA/USDT,TIA,"$2,159,980,026.00","$85,841,678.85",$5.16400000,-0.94%,$5.69900000,$4.93200000,"binance,kucoin"
45,the-open-network,TON/USDT,TON,"$13,613,141,113.00","$84,901,601.84",$5.33900000,0.00%,$5.56500000,$5.14900000,"binance,kucoin"
46,polygon-ecosystem-token,POL/USDT,POL,"$3,077,118,329.00","$84,616,510.20",$0.39340000,0.03%,$0.40970000,$0.36020000,"binance,kucoin"
47,uniswap,UNI/USDT,UNI,"$5,360,901,010.00","$84,101,106.28",$8.90200000,-0.11%,$9.15700000,$8.24400000,"binance,kucoin"
48,bitcoin-cash,BCH/USDT,BCH,"$8,677,127,138.00","$79,001,312.12",$438.80000000,1.01%,$449.60000000,$403.20000000,"binance,kucoin"
49,dogs-2,DOGS/USDT,DOGS,"$329,584,413.00","$76,193,054.01",$0.00064040,1.78%,$0.00065790,$0.00057500,"binance,kucoin"
50,notcoin,NOT/USDT,NOT,"$758,615,985.00","$74,764,726.71",$0.00739600,3.02%,$0.00775100,$0.00675700,"binance,kucoin"
51,stellar,XLM/USDT,XLM,"$3,921,034,130.00","$74,608,990.56",$0.13030000,5.17%,$0.14150000,$0.12230000,"binance,kucoin"
52,aave,AAVE/USDT,AAVE,"$2,720,518,065.00","$70,986,501.57",$179.94000000,-0.09%,$187.85000000,$168.02000000,"binance,kucoin"
53,gala,GALA/USDT,GALA,"$1,111,967,951.00","$66,751,974.02",$0.02790000,4.03%,$0.03001000,$0.02426000,"binance,kucoin"
54,filecoin,FIL/USDT,FIL,"$2,538,309,629.00","$63,786,095.60",$4.22300000,-0.31%,$4.32800000,$3.85300000,"binance,kucoin"
55,arkham,ARKM/USDT,ARKM,"$638,130,801.00","$58,596,397.02",$2.14100000,-2.24%,$2.24300000,$1.98800000,binance
56,pendle,PENDLE/USDT,PENDLE,"$911,498,114.00","$58,416,113.39",$5.52600000,1.99%,$5.68200000,$5.05100000,binance
57,arweave,AR/USDT,AR,"$1,169,513,996.00","$55,659,988.74",$18.01000000,-0.22%,$18.91000000,$16.77000000,"binance,kucoin"
58,jupiter-exchange-solana,JUP/USDT,JUP,"$1,627,441,625.00","$55,310,083.58",$1.19100000,4.03%,$1.22150000,$1.06070000,"binance,kucoin"
59,pyth-network,PYTH/USDT,PYTH,"$1,544,267,745.00","$48,867,444.69",$0.42350000,4.72%,$0.42750000,$0.38320000,binance
60,internet-computer,ICP/USDT,ICP,"$4,169,131,960.00","$48,782,483.40",$8.76000000,-0.33%,$9.04400000,$8.05900000,"binance,kucoin"
61,blockstack,STX/USDT,STX,"$3,002,497,034.00","$47,678,862.96",$1.99700000,-0.60%,$2.08000000,$1.82000000,"binance,kucoin"
62,curve-dao-token,CRV/USDT,CRV,"$391,380,329.00","$46,502,991.74",$0.31470000,15.32%,$0.32570000,$0.25490000,binance
63,apecoin,APE/USDT,APE,"$807,139,627.00","$44,545,909.87",$1.12500000,4.07%,$1.15100000,$1.01000000,binance
64,jito-governance-token,JTO/USDT,JTO,"$419,799,350.00","$43,823,553.75",$3.21600000,9.50%,$3.35800000,$2.74300000,binance
65,maker,MKR/USDT,MKR,"$1,345,452,923.00","$43,769,292.90","$1,526.00000000",1.53%,"$1,606.00000000","$1,459.00000000",binance
66,eigenlayer,EIGEN/USDT,EIGEN,"$484,895,694.00","$43,322,082.96",$2.59400000,-7.36%,$2.89200000,$2.48000000,binance
67,cosmos,ATOM/USDT,ATOM,"$2,068,865,404.00","$43,214,700.37",$5.26700000,-0.43%,$5.40100000,$4.83400000,binance
68,ether-fi,ETHFI/USDT,ETHFI,"$339,196,269.00","$42,746,141.67",$1.63400000,-2.10%,$1.73400000,$1.49500000,binance
69,ethereum-classic,ETC/USDT,ETC,"$3,409,323,932.00","$42,183,179.35",$22.62000000,0.62%,$23.32000000,$21.17000000,binance
70,starknet,STRK/USDT,STRK,"$1,023,703,434.00","$41,893,249.32",$0.48760000,-1.22%,$0.51890000,$0.44650000,binance
71,mantra-dao,OM/USDT,OM,"$1,302,244,873.00","$41,659,811.04",$1.44860000,2.20%,$1.63190000,$1.39720000,binance
